id,stackName,className
1,Bronze Hull,MTEBasicHullBronze
2,Bricked Bronze Hull,MTEBasicHullBronzeBricks
3,Steel Hull,MTEBasicHullSteel
4,Bricked Wrought Iron Hull,MTEBasicHullSteelBricks
10,ULV Machine Hull,MTEBasicHull
11,LV Machine Hull,MTEBasicHull
12,MV Machine Hull,MTEBasicHull
13,HV Machine Hull,MTEBasicHull
14,EV Machine Hull,MTEBasicHull
15,IV Machine Hull,MTEBasicHull
16,LuV Machine Hull,MTEBasicHull
17,ZPM Machine Hull,MTEBasicHull
18,UV Machine Hull,MTEBasicHull
19,UHV Machine Hull,MTEBasicHull
20,Ultra Low Voltage Transformer,MTETransformer
21,Low Voltage Transformer,MTETransformer
22,Medium Voltage Transformer,MTETransformer
23,High Voltage Transformer,MTETransformer
24,Extreme Transformer,MTETransformer
25,Insane Transformer,MTETransformer
26,Ludicrous Transformer,MTETransformer
27,ZPM Voltage Transformer,MTETransformer
28,Ultimate Transformer,MTETransformer
30,ULV Dynamo Hatch,MTEHatchDynamo
31,LV Dynamo Hatch,MTEHatchDynamo
32,MV Dynamo Hatch,MTEHatchDynamo
33,HV Dynamo Hatch,MTEHatchDynamo
34,EV Dynamo Hatch,MTEHatchDynamo
35,IV Dynamo Hatch,MTEHatchDynamo
36,LuV Dynamo Hatch,MTEHatchDynamo
37,ZPM Dynamo Hatch,MTEHatchDynamo
38,UV Dynamo Hatch,MTEHatchDynamo
39,UHV Dynamo Hatch,MTEHatchDynamo
40,ULV Energy Hatch,MTEHatchEnergy
41,LV Energy Hatch,MTEHatchEnergy
42,MV Energy Hatch,MTEHatchEnergy
43,HV Energy Hatch,MTEHatchEnergy
44,EV Energy Hatch,MTEHatchEnergy
45,IV Energy Hatch,MTEHatchEnergy
46,LuV Energy Hatch,MTEHatchEnergy
47,ZPM Energy Hatch,MTEHatchEnergy
48,UV Energy Hatch,MTEHatchEnergy
49,UHV Energy Hatch,MTEHatchEnergy
50,Input Hatch (ULV),MTEHatchInput
51,Input Hatch (LV),MTEHatchInput
52,Input Hatch (MV),MTEHatchInput
53,Input Hatch (HV),MTEHatchInput
54,Input Hatch (EV),MTEHatchInput
55,Input Hatch (IV),MTEHatchInput
56,Input Hatch (LuV),MTEHatchInput
57,Input Hatch (ZPM),MTEHatchInput
58,Input Hatch (UV),MTEHatchInput
59,Input Hatch (UHV),MTEHatchInput
60,Output Hatch (ULV),MTEHatchOutput
61,Output Hatch (LV),MTEHatchOutput
62,Output Hatch (MV),MTEHatchOutput
63,Output Hatch (HV),MTEHatchOutput
64,Output Hatch (EV),MTEHatchOutput
65,Output Hatch (IV),MTEHatchOutput
66,Output Hatch (LuV),MTEHatchOutput
67,Output Hatch (ZPM),MTEHatchOutput
68,Output Hatch (UV),MTEHatchOutput
69,Output Hatch (UHV),MTEHatchOutput
70,Input Bus (ULV),MTEHatchInputBus
71,Input Bus (LV),MTEHatchInputBus
72,Input Bus (MV),MTEHatchInputBus
73,Input Bus (HV),MTEHatchInputBus
74,Input Bus (EV),MTEHatchInputBus
75,Input Bus (IV),MTEHatchInputBus
76,Input Bus (LuV),MTEHatchInputBus
77,Input Bus (ZPM),MTEHatchInputBus
78,Input Bus (UV),MTEHatchInputBus
79,Input Bus (UHV),MTEHatchInputBus
